Component,Origin,Licence,Copyright
axios,import,MIT,Copyright (c) 2014-present Matt Zabriskie
clipanion,import,MIT,Copyright (c) 2019 Mael Nison
deep-extend,import,MIT,Copyright (c) 2013-2018, Viacheslav Lotsmanov
chalk,import,MIT,Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
glob,import,ISC,Copyright (c) Isaac Z. Schlueter and Contributors
@babel/core,dev,MIT,Copyright (c) 2014-present Sebastian McKenzie and other contributors
@babel/preset-env,dev,MIT,Copyright (c) 2014-present Sebastian McKenzie and other contributors
@babel/preset-typescript,dev,MIT,Copyright (c) 2014-present Sebastian McKenzie and other contributors
@types/chalk,dev,MIT,Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
@types/deep-extend,dev,MIT,Copyright Microsoft Corporation
@types/glob,dev,MIT,Copyright Microsoft Corporation
@types/jest,dev,MIT,Copyright Microsoft Corporation
@types/node,dev,MIT,Copyright Microsoft Corporation
husky,dev,MIT,Copyright (c) 2017
jest,dev,MIT,Copyright (c) Facebook, Inc. and its affiliates.
lint-staged,dev,MIT,Copyright (c) 2016 Andrey Okonetchnikov
ts-jest,dev,MIT,Copyright (c) 2016-2018
tslint,dev,Apache-2.0,Copyright 2013-2019 Palantir Technologies, Inc.
typescript,dev,Apache-2.0,Copyright (c) Microsoft Corporation.
